accession_version,taxid
NZ_CP014492.1,"IntegerElement(562, attributes={})"
NZ_CP025304.1,"IntegerElement(28450, attributes={})"
NZ_CP022794.1,"IntegerElement(305, attributes={})"
NZ_CP050862.1,"IntegerElement(562, attributes={})"
NZ_CP020409.1,"IntegerElement(1839800, attributes={})"
NZ_CP015598.1,"IntegerElement(28901, attributes={})"
NZ_CP030163.1,"IntegerElement(487838, attributes={})"
NZ_LT904893.1,"IntegerElement(90370, attributes={})"
NZ_CP056907.1,"IntegerElement(546, attributes={})"
NZ_CP057863.1,"IntegerElement(546, attributes={})"
NZ_CP103122.1,"IntegerElement(823, attributes={})"
NZ_CP013396.1,"IntegerElement(95486, attributes={})"
NZ_AP023264.1,"IntegerElement(573, attributes={})"
NZ_LT904852.1,"IntegerElement(90370, attributes={})"
NZ_CP014197.1,"IntegerElement(562, attributes={})"
NZ_AP021940.1,"IntegerElement(654, attributes={})"
NZ_LT904891.1,"IntegerElement(90370, attributes={})"
NZ_LR595898.1,"IntegerElement(28450, attributes={})"
NZ_LR134492.1,"IntegerElement(47917, attributes={})"
NZ_CP011989.1,"IntegerElement(1284802, attributes={})"
NZ_CP102593.1,"IntegerElement(487886, attributes={})"
NZ_CP068798.1,"IntegerElement(573, attributes={})"
NZ_CP081895.1,"IntegerElement(1463165, attributes={})"
NZ_CP030194.1,"IntegerElement(28901, attributes={})"
NZ_CP026929.1,"IntegerElement(562, attributes={})"
NZ_CP012151.1,"IntegerElement(90370, attributes={})"
NZ_CP113226.1,"IntegerElement(3003241, attributes={})"
NZ_CP038434.1,"IntegerElement(90371, attributes={})"
NZ_CP047608.1,"IntegerElement(2696060, attributes={})"
NZ_AP024099.1,"IntegerElement(305, attributes={})"
NZ_CP026580.2,"IntegerElement(562, attributes={})"
NZ_CP031231.1,"IntegerElement(562, attributes={})"
NZ_CP016904.1,"IntegerElement(305, attributes={})"
NZ_CP077969.1,"IntegerElement(562, attributes={})"
NZ_CP030778.1,"IntegerElement(208962, attributes={})"
NZ_CP012487.1,"IntegerElement(1692238, attributes={})"
NZ_CP018962.1,"IntegerElement(562, attributes={})"
NZ_CP012344.1,"IntegerElement(938142, attributes={})"
NZ_AP018747.1,"IntegerElement(573, attributes={})"
NZ_CP020983.1,"IntegerElement(473423, attributes={})"
NZ_CP059376.1,"IntegerElement(305, attributes={})"
NZ_CP022069.1,"IntegerElement(28901, attributes={})"
NZ_CP047607.1,"IntegerElement(2696058, attributes={})"
NZ_AP024157.1,"IntegerElement(305, attributes={})"
NZ_CP033384.1,"IntegerElement(59201, attributes={})"
NZ_LT904867.1,"IntegerElement(90370, attributes={})"
